"sp","longitude","latitude","country"
"Pharomachrus mocinno",-93.122894,17.187897,"MX"
"Pharomachrus mocinno",-93.06408,15.799549,"MX"
"Pharomachrus mocinno",-92.804535,15.66327,"MX"
"Pharomachrus mocinno",-92.80564,15.660189,"MX"
"Pharomachrus mocinno",-92.809784,15.658493,"MX"
"Pharomachrus mocinno",-92.806755,15.65716,"MX"
"Pharomachrus mocinno",-92.799324,15.675519,"MX"
"Pharomachrus mocinno",-92.811667,15.658889,"MX"
"Pharomachrus mocinno",-92.816667,15.65,"MX"
"Pharomachrus mocinno",-92.5,16.5,"MX"
"Pharomachrus mocinno",-92.75,16.5,"MX"
"Pharomachrus mocinno",-92.806341,15.661263,"MX"
"Pharomachrus mocinno",-92.79911,15.667007,"MX"
