"sp","migrant","area","HWI","family"
"Emberiza_citrinella","Migrant",2260.11457699058,43.6825523228216,"Emberizidae"
"Emberiza_flaviventris","Non-migrant",592.081901411466,38.247817452943,"Emberizidae"
"Emberiza_hortulana","Migrant",1394.86377488388,48.0098303586627,"Emberizidae"
"Emberiza_melanocephala","Migrant",272.405355226273,51.5227747914898,"Emberizidae"
"Emberiza_poliopleura","Non-migrant",102.050538506398,36.3794544011975,"Emberizidae"
"Emberiza_rutila","Migrant",746.801535516806,47.1397545432317,"Emberizidae"
"Emberiza_spodocephala","Migrant",842.243424835233,36.2315658212341,"Emberizidae"
"Emberiza_striolata","Non-migrant",236.102340114022,32.6051349840136,"Emberizidae"
"Emberiza_sulphurata","Migrant",30.2131223412318,41.7038763183494,"Emberizidae"
"Emberizoides_herbicola","Non-migrant",474.989164792646,28.7638300816383,"Thraupidae"
"Embernagra_platensis","Non-migrant",255.756090798751,25.2644876601062,"Thraupidae"
"Eucometis_penicillata","Non-migrant",473.760830663399,31.6655272278403,"Thraupidae"
"Euphagus_carolinus","Migrant",1634.76980585562,40.8778448319195,"Icteridae"
"Euphagus_cyanocephalus","Migrant",1106.22516876864,43.6039950534843,"Icteridae"
"Geospiza_difficilis","Non-migrant",0.19920795997634,35.4119513484929,"Thraupidae"
"Geospiza_fortis","Non-migrant",0.625583225789887,32.7766036780121,"Thraupidae"
"Geospiza_fuliginosa","Non-migrant",0.674510313106462,33.4476642763575,"Thraupidae"
"Geospiza_magnirostris","Non-migrant",0.664068881436931,33.7081567069577,"Thraupidae"
"Geospiza_scandens","Non-migrant",0.577719569190173,29.6504485852312,"Thraupidae"
"Geospizopsis_unicolor","Non-migrant",124.227035070458,32.5821256038647,"Thraupidae"
"Geothlypis_aequinoctialis","Migrant",635.937517730406,30.961377194279,"Parulidae"
"Geothlypis_beldingi","Migrant",0.344794070627252,27.3774851907811,"Parulidae"
"Geothlypis_formosa","Migrant",354.031983580485,44.115619386113,"Parulidae"
"Geothlypis_philadelphia","Migrant",773.686455459248,36.4286111345833,"Parulidae"
"Geothlypis_poliocephala","Non-migrant",73.0214818719151,40.2695227632341,"Parulidae"
"Geothlypis_rostrata","Non-migrant",0.784257953879294,22.8468995934702,"Parulidae"
"Geothlypis_semiflava","Non-migrant",9.40245179404883,42.0484837040177,"Parulidae"
"Geothlypis_speciosa","Non-migrant",0.054532725829205,27.2690489087868,"Parulidae"
"Geothlypis_tolmiei","Migrant",620.871004950264,36.1930359097977,"Parulidae"
"Geothlypis_trichas","Migrant",1686.00188491427,34.5343342189137,"Parulidae"
"Gnorimopsar_chopi","Non-migrant",511.290237285494,38.7742005419646,"Icteridae"
"Granatellus_pelzelni","Non-migrant",283.597980808185,38.412006370722,"Cardinalidae"
"Granatellus_sallaei","Non-migrant",26.9624730019377,34.7209388799833,"Cardinalidae"
"Gymnomystax_mexicanus","Non-migrant",127.628641718497,30.2860572979844,"Icteridae"
"Habia_fuscicauda","Non-migrant",49.3464799078814,37.7646691273655,"Cardinalidae"
"Habia_gutturalis","Non-migrant",7.78576618686492,31.4100554440861,"Cardinalidae"
"Habia_rubica","Non-migrant",475.988814831863,34.070051392391,"Cardinalidae"
"Haplospiza_unicolor","Non-migrant",87.1984136876169,33.8374168616181,"Thraupidae"
"Helmitheros_vermivorum","Migrant",313.786779750166,44.054599245089,"Parulidae"
"Icteria_virens","Migrant",886.933730121354,38.0565287025304,"Icteriidae"
"Icterus_abeillei","Migrant",34.3626813478571,40.3435075117155,"Icteridae"
"Icterus_auratus","Non-migrant",9.97994543254304,31.8947736871197,"Icteridae"
"Icterus_cayanensis","Non-migrant",336.511993063584,39.041268798718,"Icteridae"
"Icterus_chrysater","Non-migrant",64.5425076991426,31.038799076036,"Icteridae"
"Icterus_croconotus","Non-migrant",285.777714122736,30.6658330413848,"Icteridae"
"Icterus_cucullatus","Migrant",213.252325372385,38.6093192919405,"Icteridae"
"Icterus_dominicensis","Non-migrant",6.4436526579062,39.4632145640659,"Icteridae"
"Icterus_galbula","Migrant",801.348528609965,41.2948950130701,"Icteridae"
"Icterus_graduacauda","Non-migrant",30.6576034044969,31.7767858957132,"Icteridae"
"Icterus_gularis","Non-migrant",48.1721033359326,33.5375101352888,"Icteridae"
"Icterus_icterus","Non-migrant",36.4388857730393,31.2788785480611,"Icteridae"
"Icterus_melanopsis","Non-migrant",9.56961601218587,39.2253288665048,"Icteridae"
"Icterus_mesomelas","Non-migrant",83.0464759920526,28.1892885139278,"Icteridae"
"Icterus_nigrogularis","Non-migrant",112.040446586589,27.4515968281156,"Icteridae"
"Icterus_northropi","Non-migrant",0.469429263609698,33.9927032754686,"Icteridae"
